"Time [s]"	"X-Loc. [mm]"	"Energy [eu]"
724.386292	17.8518829	73.2810593
724.522888	16.2124252	84.5310364
724.607788	3.82541037	22.5390053
725.187927	9.47243214	47.8905029
725.192383	13.8443203	97.9684982
725.326172	4.73622036	35.6639709
725.759949	0.819737077	39.999897
725.792114	12.5691862	272.499298
725.851318	12.9335108	22.6952553
725.956543	15.3016167	65.9373322
725.992249	11.7494574	208.749466
726.082092	-0.273235142	30.5467968
726.129333	16.5767498	61.4060936
726.377625	16.1213455	44.0623856
726.657349	10.7475662	113.90596
726.722839	3.91649127	25.7030602
726.746033	17.8518829	226.24942
726.926208	10.6564856	34.3749123
726.955994	9.38135147	90.6247711
727.061218	13.935401	111.249718
727.072388	15.483778	72.4998169
727.243652	15.5748596	26.0546207
728.019775	9.83675671	78.7498016
728.255676	13.2067528	35.9374084
728.398865	12.9335108	26.6014938
728.485718	19.5824242	33.8670998
728.65387	5.00946283	83.2810364
728.722473	17.7608013	29.1405506
728.731079	12.3870239	162.499588
728.755859	13.4799967	79.999794
728.759583	12.1137819	1213.74695
728.934875	10.5654039	103.593483
729.164734	15.483778	61.9529648
729.308777	18.2162075	72.7341919
729.498108	15.3016167	59.9998474
729.858582	9.47243214	212.499451
729.962036	13.0245905	70.7810669
730.052734	8.37946033	47.2655029
730.217468	14.0264816	69.2185745
730.22583	11.7494574	19.6093254
730.360107	2.73243809	49.0623741
730.369751	10.4743233	439.373871
730.434082	8.19729805	39.3358383
730.57251	11.0208092	222.811935
730.637024	21.9505272	89.5310211
730.726685	14.7551298	92.0310135
730.94281	-1.63944995	41.1717682
730.990234	8.01513577	83.1247864
731.212402	5.00946283	22.4999428
731.232849	9.5635128	27.9296169
731.234192	8.65270329	95.3122559
731.460144	11.1118898	56.562355
731.489197	17.3053989	32.2655411
731.539856	4.09865332	56.95298
731.626465	10.018919	108.749725
732.176819	11.840538	65.0779572
732.278259	18.2162075	21.3280697
732.612915	18.2162075	40.624897
732.62854	13.8443203	177.187042
732.667175	18.3072891	34.2967873
732.905334	12.4781055	66.4842072
733.399536	20.2199898	15.8007412
733.528748	16.4856682	18.3202648
733.710876	9.38135147	29.8436737
733.843323	4.91838217	82.9685364
734.813904	13.8443203	187.187027
734.878174	2.73243809	163.749588
735.094971	12.9335108	60.4685936
735.116272	13.5710773	138.905899
735.201355	-0.273235142	27.3046169
735.293457	16.5767498	125.62468
735.367737	4.8273015	99.6872482
735.406677	10.018919	52.8904915
735.432434	-1.09296381	35.6639709
735.579224	10.2010794	214.999451
735.61853	16.3945885	34.5702248
735.705627	11.2029715	114.37471
735.862305	11.3851337	122.343437
